,Movie,Release Year,Certification,Duration,Genre,Imdb,Metascore,Votes
235, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.6,Not Available,"4,690"
236, Invincible,(2021– ),TV-MA,42 min,"Animation, Action, Adventure",8.3,Not Available,"4,665"
237, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.5,Not Available,"4,652"
238, The Walking Dead,(2010–2022),TV-MA,48 min,"Drama, Horror, Thriller",7.5,Not Available,"4,652"
239, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.7,Not Available,"4,650"
240,The Legend of Hanuman,(2021– ),Not Available,25 min,Animation,9.4,Not Available,"4,643"
241, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.6,Not Available,"4,639"
242, Broken But Beautiful,(2018– ),Not Available,Not Available,"Drama, Romance",9.6,Not Available,"4,639"
243,Major Grom: Plague Doctor,(2021),Not Available,136 min,"Action, Adventure",6.4,Not Available,"4,623"
244, Invincible,(2021– ),TV-MA,45 min,"Animation, Action, Adventure",7.7,Not Available,"4,579"
245,Mandela,(2021),Not Available,140 min,"Comedy, Drama",8.5,Not Available,"4,577"
246,50M2,(2021– ),TV-MA,45 min,"Comedy, Drama, Thriller",7.0,Not Available,"4,551"
247,Invisible City,(2021– ),TV-G,60 min,"Crime, Drama, Fantasy",7.4,Not Available,"4,538"
248,Crazy About Her,(2021),TV-MA,102 min,"Comedy, Romance",6.6,Not Available,"4,518"
249, Cobra Kai,(2018– ),TV-14,41 min,"Action, Comedy, Drama",9.5,Not Available,"4,479"
250,Nayattu,(2021),Not Available,124 min,Thriller,8.2,Not Available,"4,468"
251,Land,(2021),PG-13,89 min,"Adventure, Drama",6.6,61,"4,453"
252, Invincible,(2021– ),TV-MA,45 min,"Animation, Action, Adventure",7.9,Not Available,"4,448"
253,Ajeeb Daastaans,(2021),TV-MA,142 min,"Drama, Romance",6.7,Not Available,"4,421"
254, Star Wars: The Bad Batch,(2021– ),TV-PG,70 min,"Animation, Action, Adventure",9.0,Not Available,"4,420"
255,Virkar,(2021– ),Not Available,28 min,"Crime, Thriller",9.0,Not Available,"4,413"
256,Blue Miracle,(2021),TV-PG,95 min,"Adventure, Biography, Drama",6.7,48,"4,410"
257,The Crew,(II) (2021),TV-14,Not Available,Comedy,6.6,Not Available,"4,377"
258, One Piece,(1999– ),TV-14,24 min,"Animation, Action, Adventure",9.4,Not Available,"4,320"
259,Biggie: I Got a Story to Tell,(2021),R,97 min,"Documentary, Biography, Music",6.9,62,"4,240"
260,Girl in the Basement,(2021),TV-14,88 min,"Crime, Thriller",6.4,Not Available,"4,216"
261,Call Me Kat,(2021– ),TV-PG,21 min,Comedy,5.0,Not Available,"4,182"
262, Aspirants,(2021– ),Not Available,38 min,Drama,9.4,Not Available,"4,134"
263, The Family Man,(2019– ),TV-14,Not Available,"Action, Comedy, Drama",9.4,Not Available,"4,129"
264,Runaway Lugaai,(2021– ),Not Available,25 min,"Comedy, Drama",8.4,Not Available,"4,116"
265,Justice Society: World War II,(2021),PG-13,84 min,"Animation, Action, Adventure",6.4,Not Available,"4,116"
266,Us Again,(2021),G,7 min,"Animation, Short, Drama",8.0,Not Available,"4,104"
267,The Boss Baby: Family Business,(2021),PG,107 min,"Animation, Adventure, Comedy",6.0,40,"4,069"
268,Have You Ever Seen Fireflies?,(2021),TV-14,113 min,"Comedy, Drama",6.2,Not Available,"4,069"
269, The Family Man,(2019– ),TV-14,Not Available,"Action, Comedy, Drama",9.1,Not Available,"4,064"
270,History of Swear Words,(2021– ),TV-MA,124 min,"Documentary, Comedy",6.4,Not Available,"4,054"
271,The Underground Railroad,(2021– ),TV-MA,593 min,"Drama, History, War",7.3,Not Available,"4,027"
272,I Am All Girls,(2021),TV-MA,107 min,"Crime, Drama, Mystery",5.8,Not Available,"3,980"
